Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,East Asia & Pacific,EAS,27.7423786858017
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,East Asia & Pacific (excluding high income),EAP,23.5433216842392
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,23.5426384116619
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Euro area,EMU,40.3431787184396
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Europe & Central Asia,ECS,38.3477276152034
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Europe & Central Asia (excluding high income),ECA,28.6596875520135
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,31.1518771268035
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,European Union,EUU,39.8609688956981
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Fragile and conflict affected situations,FCS,37.2954900323628
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Heavily indebted poor countries (HIPC),HPC,37.4394014967363
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,High income,HIC,30.213339388304
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IBRD only,IBD,25.1533281339681
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA & IBRD total,IBT,25.3024792427438
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA blend,IDB,18.8278580913156
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA only,IDX,34.986701345299
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA total,IDA,27.5520125508082
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Late-demographic dividend,LTE,27.652533390122
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latin America & Caribbean,LCN,23.0116528389584
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latin America & Caribbean (excluding high income),LAC,22.2243755667926
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,22.7926025300955
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Least developed countries: UN classification,LDC,32.9659210468747
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Low & middle income,LMY,24.6696845930827
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Low income,LIC,39.0207138422459
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lower middle income,LMC,27.5861606401593
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle East & North Africa,MEA,40.7496923279012
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle East & North Africa (excluding high income),MNA,29.0265936904125
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,28.7922960422018
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle income,MIC,24.4701453141359
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,North America,NAC,17.0798061941036
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Not classified,INX,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,OECD members,OED,27.8896844476114
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Other small states,OSS,51.1264663253633
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Pacific island small states,PSS,60.5702258958253
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Post-demographic dividend,PST,28.824645499872
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Pre-demographic dividend,PRE,29.0565919672482
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Small states,SST,50.6956785034906
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Asia,SAS,22.4902443811868
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Asia (IDA & IBRD),TSA,22.4902443811868
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sub-Saharan Africa,SSF,29.8769480779298
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sub-Saharan Africa (excluding high income),SSA,29.8769480779298
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,29.8769480779298
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Upper middle income,UMC,23.5535772448158
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,World,WLD,28.6005177880938
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 05/02/2018,,,,
